ال,the
تقريبا,nearly
إفادة,statement
وصلة,link
يقدم,introduce
مستعد,ready
الزواج,marry
ميل,mile
قدرة,ability
وحدة,unit
بطاقة,card
مستشفى,hospital
بسرعة,quickly
مقابلة,interview
يطلق,release
ضريبة,tax
حل,solution
عاصمة,capital
محدد,specific
يخاف,fear
هدف,aim
تلفزيون,television
جاد,serious
درجة,degree
يحذب,pull
أحمر,red
وصول,access
حركة,movement
يعامل,treat
تعريف,identify
خسارة,loss
حديث,modern
ضغط,pressure
حافلة,bus
علاج,treatment
مؤتمر,conference
نفسك,yourself
إمداد,supply
قرية,village
يستحق,worth
طبيعي,natural
يعبر,express
يشير,indicate
أخ,brother
استثمار,investment
تنظم,organize
رحلة,trip
وَرَاءَ,beyond
ينام,sleep
سمكة,fish
يعد,promise
طاقة,energy
العلاقة,relation
يلمس,touch
ملف,file
وسط,middle
حاجِز,bar
يعاني,suffer
الاستراتيجية,strategy
عميق,deep
يستثني,except
ينظف,clean
ينزع,tend
يملأ,fill
نجم,star
شبكة,network
عمومًا,generally
مباراة,match
يتجنب,avoid
مقعد,seat
يرمي,throw
مهمة,task
شريك,associate
أزرق,blue
إيجابي,positive
صندوق,box
ضخم,huge
رسالة,message
أسلوب,style
يشير إلى,refer
بارد,cold
ربع,quarter
ناجح,successful
يغني,sing
شك,doubt
مسابقة,competition
نظرية,theory
اقترح,propose
مرجع,reference
دعوى,argument
بالغ,adult
سافر,fly
وثيقة,document
نمط,pattern
حار,hot
غير واضح,unclear
فاتورة,bill
يبحث,search
متفرق,separate
مركزي,central
حياة مهنية,career
على أي حال,anyway
كلب,dog
ضابط,officer
طَوَال,throughout
زيت,oil
فستان,dress
ربح,profit
يخمن,guess
هزار,fun
يحمي,protect
الموارد,resource
علوم,science
مرض,disease
توازن,balance
ضرر,damage
أساس,basis
مؤلف,author
أساسي,basic
يشجع,encourage
شعر,hair
ذكر,male
تعمل,operate
يعكس,reflect
مفيد,useful
مطعم,restaurant
دخل,income
ملكية,property
مظلم,dark
يتصور,imagine
تمام,okay
بريد,post
صحيفة,newspaper
يُعرِّف,define
خاتمة,conclusion
عطلة نهاية الأسبوع,weekend
يؤدي,perform
احترافي,professional
مِلكِي,mine
مناظرة,debate
ذاكرة,memory
أخضر,green
أغنية,song
يحافظ على,maintain
ائتمان,credit
جرس,ring
يكتشف,discover
ميت,dead
بعد الظهر,afternoon
يفضل,prefer
يمتد,extend
إمكانية,possibility
اتجاه,direction
منشأة,facility
يوميًا,daily
ملابس,clothes
شاشة,screen
مسار,track
الرقص,dance
بالكامل,completely
أنثى,female
مسؤولية,responsibility
إبداعي,original
أخت,sister
صخر,rock
حلم,dream
ولا,nor
جامعة,university
بسهولة,easily
وكالة,agency
دولار,dollar
يصلح,fix
مُرَشَّح,candidate
وزن,weight
قانوني,legal
عرض,proposal
إصدار,version
محادثة,conversation
جنيه,pound
مجلة,magazine
بحر,sea
في الحال,immediately
مرحباً,welcome
يبتسم,smile
تواصل,communication
تقليدي,traditional
يستبدل,replace
يحكم على,judge
فجأة,suddenly
جيل,generation
تقدير,estimate
مفضل,favorite
صعوبة,difficulty
شراء,purchase
تبادل لاطلاق النار,shoot
يعلن,announce
إلا إذا,unless
مستقل,independent
يوصي,recommend
استطلاع,survey
غالبية,majority
يلزق,stick
ثري,rich
رياح,wind
لا أحد,none
تبادل,exchange
ميزانية,budget
مشهور,famous
دم,blood
حاجز,block
دافيء,warm
عدد,count
مشهد,scene
الكاتب,writer
محتوى,content
يمنع,prevent
آمن,safe
يدعو,invite
مزج,mix
عنصر,element
فعال,effective
صحيح,correct
طبي,medical
يعترف,admit
يهزم,beat
الهاتف,telephone
ينسخ,copy
لجنة,committee
واعي,aware
نصيحة,advice
مقبض,handle
زجاج,glass
محاكمة,trial
راديو,radio
معقد,complex
نص,text
سياق,context
يركب,ride
مباشرة,directly
ثقيل,heavy
يزيل,remove
معدات,equipment
خلاف ذلك,otherwise
تنفيذي,executive
كرسي,chair
غالي,expensive
عينة,sample
يسلم,deliver
فيديو,video
طقس,weather
يجمع,collect
مبدأ,principle
مستقيم,straight
جاذبية,appeal
بشدة,highly
يثق,trust
رائع,wonderful
مستوي,flat
قطعاً,absolutely
تدفق,flow
عدل,fair
مسؤول,responsible
مزرعة,farm
يشنق,hang
سلبي,negative
فرقة,band
نسبي,relative
بديل,alternative
برمجة,software
سفينة,ship
رخيص,cheap
مزدوج,double
يراقب,observe
جملة,sentence
مطبعة,print
تقدم,progress
سرعة,speed
رد,reply
تحويل,transfer
ممتاز,perfect
طفيف,slightly
إجمالي,overall
ينوي,intend
مستخدم,user
يرد,respond
عشاء,dinner
بطيئة,slow
عادي,regular
بدني,physical
منفصل,apart
بدلة,suit
الفيدرالية,federal
يكشف,reveal
نسبة مئوية,percentage
سلام,peace
جريمة,crime
انخفاض,decline
تحذير,warn
مستهلك,consumer
لصالح,favor
جاف,dry
مؤسسة,institution
بقعة,spot
حصان,horse
مؤخراً,eventually
حرارة,heat
يثير,excite
قارئ,reader
أهمية,importance
مسافة,distance
مرشد,guide
منحة,grant
تاكسي,taxi
يٌطعم,feed
ألم,pain
قطاع,sector
يضمن,ensure
إرضاء,satisfy
خبير,expert
موجة,wave
جنوب,south
تَعَب,labor
سطح,surface
مكتبة,library
حافة,edge
مخيم,camp
جمهور,audience
إجراء,procedure
بريد إلكتروني,email
عالمي,global
كفاح,struggle
أعلن,advertise
المحيط,surround
نهر,river
سنوي,annual
تماما,fully
لفافة,roll
الواقع,reality
تصوير,photograph
فنان,artist
صراع,conflict
كامل,entire
حضور,presence
حشد,crowd
ركن,corner
الغاز,gas
يحول,shift
فئة,category
سكرتير,secretary
الدفاع,defense
يطبخ,cook
الانتشار,spread
نووي,nuclear
حجم,scale
سائق,driver
كرة,ball
يبكي,cry
مقدمة,introduction
متطلبات,requirement
شمال,north
يتأكد,confirm
رفض,refuse
ينقل,transport
تظهر,emerge
رسم خريطة,map
مفهوم,concept
جزيرة,island
إصلاح,reform
كرة القدم,football
ينجو,survive
رحلة جوية,flight
غادر,left
يحل,solve
جار,neighbor
خلفية,background
تقنية,technique
مرور,traffic
تحسين,improvement
أداة,tool
عاقبة,consequence
ظرف,circumstance
دخان,smoke
رد فعل,reaction
مطر,rain
مشغول,busy
درس,lesson
مخ,brain
كتلة,mass
مضحك,funny
يساهم,contribute
فشل,failure
جدول,schedule
المتحدث,speaker
قاع,bottom
يتبنى,adopt
جبل,mountain
يضيع,waste
يخفي,hide
زواج,marriage
تذكرة,ticket
وجبة,meal
زميل,colleague
شنطة,bag
يكرر,repeat
متساوي,equal
تعبير,expression
زائد,plus
لأقصى حد,extremely
مالك,owner
طائرة,plane
تجاري,commercial
سيدة,lady
واجب,duty
ثقافي,cultural
يرتب,arrange
مخطط,scheme
قسط,payment
للأسف,unfortunately
مختصر,brief
طائر,bird
يوضح,demonstrate
مساهمة,contribution
يُقَدِّر,appreciate
الفصل,chapter
سر,secret
فيما يبدو,apparently
رواية,novel
الاتحاد,union
يحرق,burn
أولي,initial
سرور,pleasure
اقتراح,suggestion
شديد الأهمية,critical
يجتمع,gather
في الغالب,mostly
البوب,pop
يرغب,desire
يرقي,promote
حالياً,currently
توظيف,employ
شاطئ,beach
جذب,attract
يخطب,engage
ورد,flower
مصيبة,crisis
يستقر,settle
قارب,boat
معجب,fan
مطبخ,kitchen
مرتين,twice
طازج,fresh
تأخير,delay
أمان,safety
مهندس,engineer
هادئ,quiet
تأمين,insurance
ممرضة,nurse
قسمة,divide
طول,length
تحقيق,investigation
طَرد,package
مكان ما,somewhere
يوسع,expand
يقترف,commit
بديهي,obvious
القفز,jump
سلاح,weapon
نسبياً,relatively
يستضيف,host
شتاء,winter
يصرف,district
إطار,tire
ربيع,spring
روح,spirit
غداء,lunch
فِعلي,actual
حمام سباحة,pool
معركة,battle
التقليد,tradition
نقدي,cash
جائزة,award
مدرب,coach
تجربة,experiment
غريب,strange
شفرة,code
تهديد,threat
حادثة,accident
مستحيل,impossible
يُمكَِن,enable
خائف,afraid
نشيط,active
استنتج,conclude
ديني,religious
سرطان,cancer
يقنع,convince
البيئة,environmental
شمس,sun
ينفخ,blow
مقدار,volume
يستثمر,invest
يتابع,proceed
غسل,wash
ممثل,actor
مسرور,glad
شريط,tape
عكس,opposite
حجر,stone
مجموع,sum
جندي,soldier
يكره,hate
بيضة,egg
حفلة موسيقية,concert
صدمة,shock
مريح,comfortable
المعتاد,usual
بعناية,carefully
علية,pack
خمر,wine
آلة تصوير,camera
السباحة,swim
تصنيع,manufacture
مسرح,theater
قهوة,coffee
متحف,museum
زائر,visitor
حرية,freedom
عزيزي,dear
موضوعي,objective
علاوة على ذلك,moreover
تاريخية,historical
يعارض,oppose
فرع,branch
عربة,vehicle
ربط,bind
ينتمي ل,belong
ذوق,taste
الليلة,tonight
موضة,fashion
خطر,danger
قنبلة,bomb
خطير,dangerous
ينقص,decrease
يؤذي,hurt
مجلس,council
محرر,editor
رؤية,sight
يولد,generate
هدية,gift
توصيل,delivery
ينكر,deny
ضيف,guest
غرفة نوم,bedroom
يقتبس,quote
تسلق,climb
أساسًا,basically
عنف,violence
وزير,minister
خاصة,mainly
فم,mouth
ضوضاء,noise
بندقية,gun
مربع,square
مناسبة,occasion
مألوف,familiar
يتجاهل,ignore
تدمير,destroy
شأن,affair
مدني,civil
تحديد موقع,locate
مواطن,citizen
درجة حرارة,temperature
ذهب,gold
حمولة,load
الاعتقاد,belief
القوات,troop
اِصطِلاحِيّ,technical
ترتيب,arrangement
جلد,skin
سجن,prison
يُحوّل,switch
يكتسب,acquire
شركة كبرى,corporate
إلى حد ما,fairly
خشب,wood
قاسٍ,tough
يٌقطِّع,tear
سعة,capacity
حدود,border
هزة,shake
حذاء,shoe
ينبغي,ought
إعلان,ad
مصاريف,fee
قاعة,hall
أنظمة,regulation
يهرب,escape
الاستوديو,studio
سليم,proper
يستريح,relax
السياحة,tourist
يمنح,afford
محامي,lawyer
يشتبه,suspect
كوب,cup
وصف,description
ثقة,confidence
صناعي,industrial
يشتكي,complain
وجهة نظر,perspective
اعتقال,arrest
يٌقيِّم,assess
يسجل,register
أصل,asset
إشارة,signal
إصبع,finger
مناسب,relevant
يستكشف,explore
قيادة,leadership
التزام,commitment
استيقظ,wake
بالضرورة,necessarily
ساطع,bright
ببطء,slowly
رابطة,bond
يؤجر,hire
فتحة,hole
رَابِطَة,tie
داخلي,internal
سلسلة,chain
الأدب,literature
ضحية,victim
يؤمن,secure
دهشة,amaze
جهاز,device
الولادة,birth
غابة,forest
ملصق,label
جذر,root
مصنع,factory
قناة,channel
يفتش,investigate
توصية,recommendation
رتبة,rank
الغرب,west
ودي,friendly
مقيم,resident
رزق,provision
يركز,concentrate
يصدّر,export
بقوة,strongly
كوبري,bridge
تتكون,consist
متخرج,graduate
ماركة,brand
أخلاقي,moral
يصر,insist
مزيج,combination
إساءة,abuse
الجليد,ice
يتقن,master
حصة,session
مع ذلك,nevertheless
يتنبأ,predict
سابقًا,previously
إلى حد كبير,largely
تزوج,wed
إيجار,rent
طلقة,shot
مظهر,appearance
معقول,reasonable
سمة,theme
الحكم,judgment
يعتمد,approve
يُقرض,loan
أَجواء,atmosphere
مزارع,farmer
مقارنة,comparison
خاصية,characteristic
رخصة,license
ضيق,narrow
تنجح,succeed
هوية,identity
بجد,seriously
بري,wild
فارغ,empty
عمولة,commission
فريد,unique
المستثمر,investor
عملي,practical
شاي,tea
محبوب,lovely
ناعم,soft
صف,row
شباب,youth
قفل,lock
وقود,fuel
توقع,expectation
احتفل,celebrate
جنسي,sexual
كتف,shoulder
يتنفس,breath
بشكل متزايد,increasingly
يستورد,import
زجاجة,bottle
أنفسنا,ourselves
ملزمة,sheet
محرك,engine
يقذف,cast
محافظ,conservative
المعارضة,opposition
اِرتِياح,relief
دَين,debt
شرف,honor
حصيلة,outcome
لوم,blame
توضيح,explanation
تنشأ,arise
موسيقي,musical
استرداد,recover
تمتد,stretch
التقاعد,retire
صغير الحجم,tiny
حذر,careful
الفاكهة,fruit
شاهد,witness
رهيب,terrible
الباحث,researcher
اختيار,selection
في أي مكان,anywhere
عقلي,mental
مشارك,participant
سمين,fat
دخول,entry
كيميائية,chemical
يأسر,capture
تخفيض,discount
حَجم,proportion
أذن,ear
يختفي,disappear
يصرخ,shout
ساحة,yard
ثابت,constant
بشكل كبير,significantly
تلة,hill
تعليمات,instruction
ذكاء,intelligence
مثالي,ideal
قوم,folk
قطة,cat
قبلة,kiss
عرض تقديمي,presentation
مشترك,joint
تنافس,compete
ضعيف,weak
إيمان,faith
احتياطي,reserve
شكوى,complaint
التجويف,bore
بطريقة ما,somehow
نغمة,tone
حيّ,neighborhood
راكب,passenger
عدالة,justice
مرحلة,phase
رفيع,thin
يسرع,rush
رَسمِيّ,formal
دِين,religion
صاحب العمل,employer
يرفض,reject
طبق,plate
حظر,ban
يسرق,steal
يعترض,protest
فِهرِس,index
حزين,sad
مرارًا,frequently
دائرة,circle
متعاون,helpful
يأمر,command
جذاب,attractive
انطباع,impression
غير قادر,unable
نكتة,joke
سماء,sky
عمود,column
إلكتروني,electronic
فرض,impose
مجرم,criminal
بجانب,besides
على وجه صحيح,properly
عتيق,ancient
ساحل,coast
ركلة,kick
عن كثب,closely
أَثْمَر,yield
عبر,via
تشريع,legislation
مقاطعة,county
على عكس,unlike
متحرك,mobile
مساعد,assistant
ينفذ,implement
نعلق,attach
جحيم,hell
في كل مكان,everywhere
ينصح,advise
أُسرَة,household
يُقرّ,acknowledge
شرق,east
قبعة,hat
أكاديمي,academic
الناخب,voter
في أثناء,meanwhile
بالإضافة إلى,furthermore
اتهام,accuse
علمي,scientific
الأجر,wage
غياب,absence
ملاحظة,remark
الدواء,medicine
أستاذ,professor
نادر,rare
نيّة,intention
دزينة,dozen
مستعمرة,settlement
فجوة,gap
على نطاق واسع,widely
الحد الأدنى,minimum
شمالي,northern
عقار,estate
بالتساوي,equally
يفضح,expose
على قيد الحياة,alive
أغلق,shut
انتصار,victory
الناقد,critic
حلو,sweet
دائم,permanent
العاطفة,emotion
يتحرى,pursue
يحث,urge
العدو,enemy
لبن,milk
الموهبة,talent
يشم,smell
أولوية,priority
متصل,online
عبارة,phrase
طيار,pilot
مستقر,stable
مُجَرّد,merely
دقة,resolution
يتواصل,communicate
إصابة,injury
معرض,exhibition
إقليمية,regional
طفولة,childhood
مسودة,draft
ينزلق,slip
يرافق,accompany
غاضب,angry
طرق,knock
البذور,seed
مرتب,salary
يعني,imply
إفطار,breakfast
مؤقت,temporary
ليبرالي,liberal
بحيرة,lake
تأهل,qualify
تنافسي,competitive
حقا,truly
أهلاً,hi
أصفر,yellow
القرص,disk
جوهر,core
عاطفي,emotional
الذات,self
معدن,metal
وجود,existence
العظام,bone
لوحة,panel
برايم,prime
ميعاد,appointment
يؤكد,emphasize
الحد الأقصى,maximum
بفعالية,effectively
في مكان آخر,elsewhere
يزعج,bother
مبادرة,initiative
حاد,sharp
نظام عذائي,diet
رمادي,gray
البلاستيك,plastic
معقدة,complicate
تأديب,discipline
خيبة أمل,disappoint
افتراض,assumption
تجميد,freeze
أقصى,extreme
ممر,passage
سمعة,reputation
راب,forth
التفاوض,negotiation
آلية,mechanism
معطف,coat
ديمقراطية,democracy
جيب,pocket
محظوظ,lucky
يتحطم,crash
لحمة,meat
تركيز,concentration
المعنى الضمني,implication
غير عادي,unusual
كلاسيكي,classic
ملِك,king
تفاعل,interaction
بصلح,repair
ينهار,collapse
يستعير,borrow
في الخارج,abroad
هزيمة,defeat
الرئاسة,presidential
فخور,proud
طارئ,emergency
تعليمية,educational
يميز,distinguish
جوهري,substantial
الشركة المصنعة,manufacturer
شريحة,slide
قيّم,valuable
شخصيا,personally
يَتَصدَّى,cope
تقريبًا,approximately
إقامة,accommodation
تسليط الضوء,highlight
مراسل,reporter
مناخ,climate
قميص,shirt
استثناء,exception
مؤسَّسة,corporation
رقاقة,chip
الفائز,winner
بني,brown
عذر,excuse
جزئيا,partly
تنس,tennis
حضري,urban
الخلط,confuse
الجنوب,southern
الإخراج,output
جمال,beauty
جَسِيم,massive
ثَبَّتَ,install
الماوس,mouse
الرياضيات,mathematics
العلوي,upper
الخلق,creation
احتل,occupy
تحديث,update
حظ,luck
ينقسم,split
يتأرجح,swing
الصحفي,journalist
أصلا,originally
جانبا,aside
راحة,comfort
ثانيًا,secondly
شديد,severe
الجين,gene
احتمال,prospect
الثلج,snow
حبكة,plot
رقبة,neck
معايير,criteria
في المقام الأول,primarily
دمج,integrate
نقد,criticism
رهان,bet
يحتفظ,retain
تسلسل,sequence
متطوع,volunteer
ريفي,rural
يتخلى عن,abandon
فحص,examination
الصمت,silence
ثورة,revolution
فرحة,delight
يتهجى,spell
فرضية,premise
نحيف,lean
دراماتيكي,dramatic
تختلف,differ
شاكر,grateful
بروتين,protein
دراجة,bike
توزيع,distribute
مفكر,intellectual
اشتق,derive
البطالة,unemployment
عجلة,wheel
اقتصاص,crop
الأقلية,minority
تفسير,interpretation
جنتلمان,gentleman
دراما,drama
منظر جمالي,landscape
تثقيف,educate
عيب,fault
مطاردة,hunt
عاصفة,storm
سميك,thick
إنجاز,achievement
السيطرة,dominate
مزود,supplier
نظير,peer
مَعاش,pension
الجناح,wing
اكتساب,acquisition
ضحك,laughter
بعمق,deeply
تعرُّف,recognition
كهرباء,electricity
مساعدة,assistance
سَطح,roof
على التوالى,respectively
تفاوت,variation
أخيرًا,ultimately
دليل,proof
تربة,soil
ذكي,smart
طبقة,layer
منزعج,upset
الأسنان,tooth
التمثيل,representation
تحضير,preparation
ينازع,dispute
جدول أعمال,agenda
توكيد,emphasis
طبعة,edition
فضي,silver
ترفيه,entertainment
أمين,honest
تعهد,undertake
بيع بالتجزئة,retail
سلك,wire
من غير المرجح,unlikely
النشر,publication
مجهول,unknown
